,the scores,sucess rate,one digit scores,two digits scores,three digits scores,four and more digits scores
312,0,0.17414248,100,0,0,0
313,0,0.173684211,100,0,0,0
314,0,0.173228346,100,0,0,0
315,1,0.174934726,100,0,0,0
316,1,0.176623377,100,0,0,0
317,0,0.176165803,100,0,0,0
318,0,0.175710594,100,0,0,0
319,1,0.177377892,100,0,0,0
320,4,0.185279188,100,0,0,0
321,0,0.184810127,100,0,0,0
322,0,0.184343434,100,0,0,0
323,1,0.185929648,100,0,0,0
324,0,0.185463659,100,0,0,0
325,2,0.189054726,100,0,0,0
326,1,0.190594059,100,0,0,0
327,4,0.19804401,100,0,0,0
328,0,0.197560976,100,0,0,0
329,0,0.197080292,100,0,0,0
330,0,0.196601942,100,0,0,0
331,1,0.198067633,100,0,0,0
332,0,0.197590361,100,0,0,0
333,1,0.199040767,100,0,0,0
334,0,0.198564593,100,0,0,0
335,0,0.198090692,100,0,0,0
336,0,0.197619048,100,0,0,0
337,0,0.197149644,100,0,0,0
338,0,0.196682464,100,0,0,0
339,0,0.196217494,100,0,0,0
340,0,0.195754717,100,0,0,0
341,1,0.197183099,100,0,0,0
342,3,0.202325581,100,0,0,0
343,0,0.201856148,100,0,0,0
344,0,0.201388889,100,0,0,0
345,0,0.200923788,100,0,0,0
346,0,0.200460829,100,0,0,0
347,1,0.201834862,100,0,0,0
348,0,0.201372998,100,0,0,0
349,0,0.200913242,100,0,0,0
350,0,0.200455581,100,0,0,0
351,1,0.201814059,100,0,0,0
352,6,0.212053571,100,0,0,0
353,2,0.215077605,100,0,0,0
354,0,0.21460177,100,0,0,0
355,0,0.214128035,100,0,0,0
356,0,0.213656388,100,0,0,0
357,1,0.214912281,100,0,0,0
358,3,0.219565217,100,0,0,0
359,0,0.219088937,100,0,0,0
360,0,0.218614719,100,0,0,0
361,0,0.218142549,100,0,0,0
362,0,0.217672414,100,0,0,0
363,1,0.21888412,100,0,0,0
364,6,0.22832981,100,0,0,0
365,3,0.232704403,100,0,0,0
366,0,0.232217573,100,0,0,0
367,0,0.231732777,100,0,0,0
368,0,0.23125,100,0,0,0
369,1,0.232365145,100,0,0,0
370,0,0.231884058,100,0,0,0
371,0,0.231404959,100,0,0,0
372,2,0.234086242,100,0,0,0
373,0,0.233606557,100,0,0,0
374,0,0.233128834,100,0,0,0
375,0,0.232653061,100,0,0,0
376,2,0.235294118,100,0,0,0
377,1,0.236363636,100,0,0,0
378,1,0.237424547,100,0,0,0
379,0,0.236947791,100,0,0,0
380,0,0.236472946,100,0,0,0
381,3,0.24055666,100,0,0,0
382,0,0.240079365,100,0,0,0
383,0,0.23960396,100,0,0,0
384,0,0.239130435,100,0,0,0
385,0,0.238658777,100,0,0,0
386,1,0.239685658,100,0,0,0
387,2,0.2421875,100,0,0,0
388,0,0.2417154,100,0,0,0
389,0,0.241245136,100,0,0,0
390,2,0.243713733,100,0,0,0
391,5,0.250478011,100,0,0,0
392,2,0.252851711,100,0,0,0
393,2,0.255198488,100,0,0,0
394,3,0.25891182,100,0,0,0
395,0,0.258426966,100,0,0,0
396,0,0.257943925,100,0,0,0
397,3,0.261595547,100,0,0,0
398,5,0.267889908,100,0,0,0
399,1,0.268738574,100,0,0,0
400,2,0.270909091,100,0,0,0
401,3,0.274368231,100,0,0,0
402,2,0.276481149,100,0,0,0
403,4,0.28113879,100,0,0,0
404,0,0.280639432,100,0,0,0
405,0,0.280141844,100,0,0,0
406,6,0.287215412,100,0,0,0
407,3,0.290434783,100,0,0,0
408,0,0.289930556,100,0,0,0
409,0,0.289428076,100,0,0,0
410,0,0.288927336,100,0,0,0
411,0,0.288428325,100,0,0,0
412,2,0.290378007,100,0,0,0
413,7,0.298305085,100,0,0,0
414,2,0.300168634,100,0,0,0
415,0,0.2996633,100,0,0,0
416,7,0.30730897,100,0,0,0
417,5,0.3125,100,0,0,0
418,0,0.311986864,100,0,0,0
419,0,0.31147541,100,0,0,0
420,0,0.31096563,100,0,0,0
421,0,0.310457516,100,0,0,0
422,4,0.314424635,100,0,0,0
423,2,0.316129032,100,0,0,0
424,0,0.315619968,100,0,0,0
425,5,0.320574163,100,0,0,0
426,4,0.324367089,100,0,0,0
427,2,0.325984252,100,0,0,0
428,0,0.325471698,100,0,0,0
429,7,0.332298137,100,0,0,0
430,0,0.331782946,100,0,0,0
431,1,0.332302937,100,0,0,0
432,4,0.335889571,100,0,0,0
433,0,0.335375191,100,0,0,0
434,0,0.334862385,100,0,0,0
435,0,0.334351145,100,0,0,0
436,6,0.339879154,100,0,0,0
437,0,0.339366516,100,0,0,0
438,3,0.341829085,100,0,0,0
