,the scores,sucess rate,one digit scores,two digits scores,three digits scores,four and more digits scores
77,0,0.04878048780487805,100.0,0.0,0.0,0.0
78,0,0.04819277108433735,100.0,0.0,0.0,0.0
79,0,0.047619047619047616,100.0,0.0,0.0,0.0
80,0,0.047058823529411764,100.0,0.0,0.0,0.0
81,0,0.046511627906976744,100.0,0.0,0.0,0.0
82,0,0.04597701149425287,100.0,0.0,0.0,0.0
83,0,0.045454545454545456,100.0,0.0,0.0,0.0
84,0,0.0449438202247191,100.0,0.0,0.0,0.0
85,0,0.044444444444444446,100.0,0.0,0.0,0.0
86,0,0.04395604395604396,100.0,0.0,0.0,0.0
87,0,0.043478260869565216,100.0,0.0,0.0,0.0
88,0,0.043010752688172046,100.0,0.0,0.0,0.0
89,0,0.0425531914893617,100.0,0.0,0.0,0.0
90,0,0.042105263157894736,100.0,0.0,0.0,0.0
91,0,0.041666666666666664,100.0,0.0,0.0,0.0
92,1,0.05102040816326531,100.0,0.0,0.0,0.0
93,0,0.050505050505050504,100.0,0.0,0.0,0.0
94,1,0.0594059405940594,100.0,0.0,0.0,0.0
95,2,0.07692307692307693,100.0,0.0,0.0,0.0
96,0,0.0761904761904762,100.0,0.0,0.0,0.0
97,0,0.07547169811320754,100.0,0.0,0.0,0.0
98,1,0.08333333333333333,100.0,0.0,0.0,0.0
99,0,0.08256880733944955,100.0,0.0,0.0,0.0
100,2,0.09821428571428571,100.0,0.0,0.0,0.0
101,0,0.09734513274336283,100.0,0.0,0.0,0.0
102,0,0.09649122807017543,100.0,0.0,0.0,0.0
103,0,0.09565217391304348,100.0,0.0,0.0,0.0
104,0,0.09482758620689655,100.0,0.0,0.0,0.0
105,0,0.09401709401709402,100.0,0.0,0.0,0.0
106,0,0.09322033898305085,100.0,0.0,0.0,0.0
107,0,0.09243697478991597,100.0,0.0,0.0,0.0
108,0,0.09166666666666666,100.0,0.0,0.0,0.0
109,0,0.09090909090909091,100.0,0.0,0.0,0.0
110,0,0.09016393442622951,100.0,0.0,0.0,0.0
111,2,0.104,100.0,0.0,0.0,0.0
112,0,0.10317460317460317,100.0,0.0,0.0,0.0
113,1,0.109375,100.0,0.0,0.0,0.0
114,0,0.10852713178294573,100.0,0.0,0.0,0.0
115,0,0.1076923076923077,100.0,0.0,0.0,0.0
116,0,0.10687022900763359,100.0,0.0,0.0,0.0
117,0,0.10606060606060606,100.0,0.0,0.0,0.0
118,0,0.10526315789473684,100.0,0.0,0.0,0.0
119,0,0.1044776119402985,100.0,0.0,0.0,0.0
120,0,0.1037037037037037,100.0,0.0,0.0,0.0
121,0,0.10294117647058823,100.0,0.0,0.0,0.0
122,0,0.10218978102189781,100.0,0.0,0.0,0.0
123,0,0.10144927536231885,100.0,0.0,0.0,0.0
124,0,0.10071942446043165,100.0,0.0,0.0,0.0
125,0,0.1,100.0,0.0,0.0,0.0
126,0,0.09929078014184398,100.0,0.0,0.0,0.0
127,0,0.09859154929577464,100.0,0.0,0.0,0.0
128,0,0.0979020979020979,100.0,0.0,0.0,0.0
129,0,0.09722222222222222,100.0,0.0,0.0,0.0
130,1,0.10273972602739725,100.0,0.0,0.0,0.0
131,0,0.10204081632653061,100.0,0.0,0.0,0.0
132,0,0.10135135135135136,100.0,0.0,0.0,0.0
133,0,0.10067114093959731,100.0,0.0,0.0,0.0
134,0,0.1,100.0,0.0,0.0,0.0
135,2,0.1111111111111111,100.0,0.0,0.0,0.0
136,1,0.11612903225806452,100.0,0.0,0.0,0.0
137,0,0.11538461538461539,100.0,0.0,0.0,0.0
138,0,0.11464968152866242,100.0,0.0,0.0,0.0
139,0,0.11392405063291139,100.0,0.0,0.0,0.0
140,1,0.11875,100.0,0.0,0.0,0.0
141,0,0.11801242236024845,100.0,0.0,0.0,0.0
142,0,0.11728395061728394,100.0,0.0,0.0,0.0
143,0,0.1165644171779141,100.0,0.0,0.0,0.0
