,the scores,sucess rate,one digit scores,two digits scores,three digits scores,four and more digits scores,Moving average
81,0,0,100,0,0,0,0.02
82,0,0,100,0,0,0,0.02
83,0,0,100,0,0,0,0.02
84,0,0,100,0,0,0,0.02
85,0,0,100,0,0,0,0.02
86,0,0,100,0,0,0,0.02
87,0,0,100,0,0,0,0.02
88,0,0,100,0,0,0,0.02
89,0,0,100,0,0,0,0.03
90,0,0,100,0,0,0,0.03
91,0,0,100,0,0,0,0.03
92,0,0,100,0,0,0,0.03
93,0,0,100,0,0,0,0.03
94,0,0,100,0,0,0,0.03
95,0,0,100,0,0,0,0.03
96,0,0,100,0,0,0,0.03
97,0,0,100,0,0,0,0.03
98,0,0,100,0,0,0,0.03
99,0,0,100,0,0,0,0.03
100,0,0,100,0,0,0,0.03
101,0,0,100,0,0,0,0.04
102,0,0,100,0,0,0,0.04
103,0,0,100,0,0,0,0.04
104,1,0.009433962,100,0,0,0,0.04
105,0,0.009345794,100,0,0,0,0.04
106,1,0.018348624,100,0,0,0,0.04
107,0,0.018181818,100,0,0,0,0.04
108,0,0.018018018,100,0,0,0,0.04
109,0,0.017857143,100,0,0,0,0.04
110,0,0.017699115,100,0,0,0,0.04
111,0,0.01754386,100,0,0,0,0.05
112,0,0.017391304,100,0,0,0,0.06
113,0,0.017241379,100,0,0,0,0.06
114,0,0.017094017,100,0,0,0,0.06
115,0,0.016949153,100,0,0,0,0.06
116,0,0.016806723,100,0,0,0,0.06
117,0,0.016666667,100,0,0,0,0.06
118,0,0.016528926,100,0,0,0,0.06
119,0,0.016393443,100,0,0,0,0.06
120,0,0.016260163,100,0,0,0,0.06
121,0,0.016129032,100,0,0,0,0.06
122,0,0.016,100,0,0,0,0.06
123,0,0.015873016,100,0,0,0,0.07
124,0,0.015748031,100,0,0,0,0.07
125,0,0.015625,100,0,0,0,0.07
126,0,0.015503876,100,0,0,0,0.07
127,0,0.015384615,100,0,0,0,0.07
128,0,0.015267176,100,0,0,0,0.07
129,0,0.015151515,100,0,0,0,0.08
130,0,0.015037594,100,0,0,0,0.08
131,0,0.014925373,100,0,0,0,0.08
132,0,0.014814815,100,0,0,0,0.08
133,0,0.014705882,100,0,0,0,0.09
134,0,0.01459854,100,0,0,0,0.09
135,0,0.014492754,100,0,0,0,0.1
136,0,0.014388489,100,0,0,0,0.1
137,0,0.014285714,100,0,0,0,0.1
138,0,0.014184397,100,0,0,0,0.1
139,1,0.020979021,100,0,0,0,0.1
140,0,0.020833333,100,0,0,0,0.12
141,0,0.020689655,100,0,0,0,0.13
142,0,0.020547945,100,0,0,0,0.13
143,0,0.020408163,100,0,0,0,0.13
144,0,0.02027027,100,0,0,0,0.13
145,0,0.020134228,100,0,0,0,0.13
146,0,0.02,100,0,0,0,0.13
147,0,0.01986755,100,0,0,0,0.13
148,0,0.019736842,100,0,0,0,0.13
149,0,0.019607843,100,0,0,0,0.13
150,0,0.019480519,100,0,0,0,0.13
151,1,0.025641026,100,0,0,0,0.14
152,0,0.025477707,100,0,0,0,0.14
153,0,0.025316456,100,0,0,0,0.15
154,0,0.025157233,100,0,0,0,0.14
155,0,0.025,100,0,0,0,0.14
156,0,0.02484472,100,0,0,0,0.16
157,0,0.024691358,100,0,0,0,0.16
158,0,0.024539877,100,0,0,0,0.17
159,0,0.024390244,100,0,0,0,0.17
160,0,0.024242424,100,0,0,0,0.17
161,1,0.02994012,100,0,0,0,0.18
162,1,0.035502959,100,0,0,0,0.18
163,0,0.035294118,100,0,0,0,0.18
164,0,0.035087719,100,0,0,0,0.18
165,0,0.034883721,100,0,0,0,0.2
166,0,0.034682081,100,0,0,0,0.2
167,0,0.034482759,100,0,0,0,0.21
168,0,0.034285714,100,0,0,0,0.22
169,0,0.034090909,100,0,0,0,0.22
170,0,0.033898305,100,0,0,0,0.23
171,0,0.033707865,100,0,0,0,0.23
172,0,0.033519553,100,0,0,0,0.24
173,1,0.038674033,100,0,0,0,0.24
174,0,0.038461538,100,0,0,0,0.25
175,0,0.038251366,100,0,0,0,0.25
176,0,0.038043478,100,0,0,0,0.25
177,0,0.037837838,100,0,0,0,0.25
178,0,0.037634409,100,0,0,0,0.25
179,1,0.042553191,100,0,0,0,0.25
180,0,0.042328042,100,0,0,0,0.25
181,0,0.042105263,100,0,0,0,0.26
182,0,0.041884817,100,0,0,0,0.27
183,1,0.046632124,100,0,0,0,0.27
184,0,0.046391753,100,0,0,0,0.27
185,1,0.051020408,100,0,0,0,0.28
186,0,0.050761421,100,0,0,0,0.29
187,0,0.050505051,100,0,0,0,0.29
188,0,0.050251256,100,0,0,0,0.3
189,0,0.05,100,0,0,0,0.29
190,2,0.0591133,100,0,0,0,0.3
191,1,0.063414634,100,0,0,0,0.31
192,0,0.063106796,100,0,0,0,0.31
193,0,0.062801932,100,0,0,0,0.31
194,0,0.0625,100,0,0,0,0.31
195,0,0.062200957,100,0,0,0,0.31
196,0,0.061904762,100,0,0,0,0.32
197,0,0.061611374,100,0,0,0,0.33
198,0,0.061320755,100,0,0,0,0.34
199,0,0.061032864,100,0,0,0,0.34
200,0,0.060747664,100,0,0,0,0.34
201,1,0.064814815,100,0,0,0,0.33
202,0,0.064516129,100,0,0,0,0.34
203,1,0.068493151,100,0,0,0,0.34
204,0,0.068181818,100,0,0,0,0.34
205,0,0.067873303,100,0,0,0,0.36
206,3,0.08,100,0,0,0,0.36
207,0,0.079646018,100,0,0,0,0.36
208,1,0.083333333,100,0,0,0,0.36
209,0,0.082969432,100,0,0,0,0.37
210,0,0.082608696,100,0,0,0,0.38
211,1,0.086206897,100,0,0,0,0.37
212,0,0.08583691,100,0,0,0,0.36
213,0,0.085470085,100,0,0,0,0.36
214,0,0.085106383,100,0,0,0,0.38
215,2,0.092436975,100,0,0,0,0.38
216,0,0.092050209,100,0,0,0,0.38
217,1,0.095435685,100,0,0,0,0.38
218,1,0.098765432,100,0,0,0,0.38
219,0,0.098360656,100,0,0,0,0.39
220,1,0.101626016,100,0,0,0,0.39
